Accession,Group,Representative,Host,Species,Clade,Strain,Location,Author,Reference,Pubmed,Gene,Date
"EF110236","UNIQUE","IN TREE","Free-living","Ulva prolifera",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110241","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110246","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110249","Group 160","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110255","Group 814","REDUNDANT","Free-living","Ulva procera",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110261","UNIQUE","IN TREE","Free-living","Ulva procera",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110263","UNIQUE","IN TREE","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110265","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110270","Group 022","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110271","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110272","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110273","UNIQUE","IN TREE","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110275","UNIQUE","IN TREE","Free-living","Ulva rigida",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110276","Group 085","IN TREE","Free-living","Ulva intestinalis",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110277","Group 063","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110281","Group 068","IN TREE","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110284","Group 085","REDUNDANT","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110288","Group 104","IN TREE","Free-living","Umbraulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110289","UNIQUE","IN TREE","Free-living","Umbraulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110290","Group 104","REDUNDANT","Free-living","Umbraulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110294","UNIQUE","IN TREE","Free-living","Ulva armoricana",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110297","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110300","Group 175","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110302","UNIQUE","IN TREE","Free-living","Ulva rigida",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110308","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110309","Group 132","REDUNDANT","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110316","Group 066","IN TREE","Free-living","Ulva intestinalis",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110324","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110327","Group 047","REDUNDANT","Free-living","Ulva procera",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110386","UNIQUE","IN TREE","Free-living","Ulva linza",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110392","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110417","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110444","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110445","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110458","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110459","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110460","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110461","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110464","UNIQUE","IN TREE","Free-living","Ulva fasciata",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110466","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110468","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110497","UNIQUE","IN TREE","Free-living","Umbraulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110498","UNIQUE","IN TREE","Free-living","Gemina letterstedtioidea",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110499","UNIQUE","IN TREE","Free-living","Gemina letterstedtioidea",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110500","UNIQUE","IN TREE","Free-living","Ulva fasciata",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110501","UNIQUE","IN TREE","Free-living","Ulva fasciata",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF110504","UNIQUE","IN TREE","Free-living","Umbraulva sp.",""," "," ","Heesch","Eur. J. Phycol. 44 (2), 143-154 (2009)"," ","rbcL","131021"
"EF110506","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Heesch","Unpublished"," ","rbcL","131021"
"EF113405","UNIQUE","IN TREE","Free-living","Actinastrum hantzschii","","UTEX LB 605"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113407","UNIQUE","IN TREE","Free-living","Ankyra judayi","","CH92"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113408","UNIQUE","IN TREE","Free-living","Ankyra judayi","","SAG 17.84"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113409","UNIQUE","IN TREE","Free-living","Ankyra starrii","","UTEX 2158"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113411","UNIQUE","IN TREE","Free-living","Ascochloris multinucleata","","UTEX 2013"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113412","UNIQUE","IN TREE","Free-living","Atractomorpha echinata","","Hoffman Type"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113413","UNIQUE","IN TREE","Free-living","Atractomorpha porcata","","Hoffman Lemoncove 4"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113415","UNIQUE","IN TREE","Free-living","Bulbochaete rectangularis var. hiloensis","","UTEX LB 954"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113416","UNIQUE","IN TREE","Free-living","Carteria obtusa","","SAG 39.84"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113417","UNIQUE","IN TREE","Free-living","Carteria sp.","","UTEX 2"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113418","UNIQUE","IN TREE","Free-living","Characiopodium hindakii","","UTEX 2098"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113419","UNIQUE","IN TREE","Free-living","Characiosiphon rivularis","","UTEX LB 1763"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113420","UNIQUE","IN TREE","Free-living","Chlamydomonas asymmetrica","","SAG 70.72"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113424","UNIQUE","IN TREE","Free-living","Chlamydomonas oblonga","","SAG 11-60a"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113425","UNIQUE","IN TREE","Free-living","Chlamydomonas pitschmannii","","SAG 14.73"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113426","UNIQUE","IN TREE","Free-living","Chlamydopodium vacuolatum","","UTEX 2111"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113427","Group 320","REDUNDANT","Free-living","Pseudochlorella pringsheimii","","UTEX 20"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113429","UNIQUE","IN TREE","Free-living","Chlorella sorokiniana","","UTEX 246"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113430","UNIQUE","IN TREE","Free-living","Chlorococcum echinozygotum","","UTEX 1118"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113431","UNIQUE","IN TREE","Free-living","Chlorococcum ellipsoideum","","UTEX 972"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113433","UNIQUE","IN TREE","Free-living","Closteriopsis acicularis","","UTEX LB 1381"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113436","UNIQUE","IN TREE","Free-living","Elakatothrix viridis","","CH30/Des Moines River"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113438","UNIQUE","IN TREE","Free-living","Fusochloris perforata","","UTEX 2104"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113439","UNIQUE","IN TREE","Free-living","Geminella minor","","SAG 22.88"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113440","UNIQUE","IN TREE","Free-living","Geminella minor","","GR36"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113441","UNIQUE","IN TREE","Free-living","Geminella sp.","","SAG 20.84"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113442","UNIQUE","IN TREE","Free-living","Geminella sp.","","SAG 54.81"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113444","UNIQUE","IN TREE","Free-living","Gloeotila contorta","","SAG 41.84"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113445","UNIQUE","IN TREE","Free-living","Golenkinia minutissima","","UTEX 929"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113448","UNIQUE","IN TREE","Free-living","Heterochlamydomonas inaequalis","","SAG 4.75"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113450","UNIQUE","IN TREE","Free-living","Lobocharacium coloradoense","","Kugrens"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113451","UNIQUE","IN TREE","Free-living","Micractinium pusillum","","SAG 13.81"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113452","UNIQUE","IN TREE","Free-living","Mychonastes sp.","","YHL/S/PLANKTON10"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113453","Group 607","IN TREE","Free-living","Myrmecia israelensis","","UTEX 1181"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113454","UNIQUE","IN TREE","Free-living","Picochlorum eukaryotum","","UTEX 2491"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113455","UNIQUE","IN TREE","Free-living","Picochlorum oculatum","","UTEX LB 1998"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113456","UNIQUE","IN TREE","Free-living","Neochloris aquatica","","UTEX 138"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113457","UNIQUE","IN TREE","Free-living","Neochloris vigensis","","UTEX 1981"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113458","UNIQUE","IN TREE","Free-living","Oedogonium cardiacum","","UTEX LB 39"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113459","Group 503","REDUNDANT","Free-living","Oocystis apiculata","","UTEX B 418"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113460","UNIQUE","IN TREE","Free-living","Ourococcus multisporus","","UTEX 1240"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113461","Group 786","REDUNDANT","Free-living","Pediastrum duplex","","UTEX 1364"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113462","UNIQUE","IN TREE","Free-living","Planctonema lauterbornii","","GR35"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113463","UNIQUE","IN TREE","Free-living","Planctonema sp.","","M110-1/Fawley"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113465","UNIQUE","IN TREE","Free-living","Protosiphon botryoides","","UTEX 99"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113466","UNIQUE","IN TREE","Free-living","Pseudoschroederia antillarum","","SAG B 15.86"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113467","UNIQUE","IN TREE","Free-living","Radiofilum conjunctivum","","GR2"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113470","UNIQUE","IN TREE","Free-living","Schroederia setigera","","UTEX LB 2454"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113471","UNIQUE","IN TREE","Free-living","Selenastrum capricornutum","","UTEX 1648"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113472","UNIQUE","IN TREE","Free-living","Sphaeroplea robusta","","UTEX LB 2350"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113473","UNIQUE","IN TREE","Free-living","Sphaeroplea soleirolii var. crassisepta","","Hoffman PASS C Iso E"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113475","UNIQUE","IN TREE","Free-living","Stichococcus bacillaris","","UTEX LB 1962"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113476","UNIQUE","IN TREE","Free-living","Tetracystis aeria","","UTEX 1453"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113478","UNIQUE","IN TREE","Free-living","Treubaria schmidlei","","SAG 36.83"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF113479","UNIQUE","IN TREE","Free-living","Treubaria setigera","","SAG 37.83"," ","Verghese","Unpublished"," ","rbcL","131021"
"EF203012","UNIQUE","IN TREE","Free-living","Trichophilus welckeri",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203013","Group 067","REDUNDANT","Free-living","Rosenvingiella polyrhiza",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203015","UNIQUE","IN TREE","Free-living","Prasiolopsis ramosa",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203016","UNIQUE","IN TREE","Free-living","Prasiola cf. furfuracea GALW015416",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203017","UNIQUE","IN TREE","Free-living","Prasiola linearis",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203020","UNIQUE","IN TREE","Free-living","Prasiola delicata",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF203021","UNIQUE","IN TREE","Free-living","Prasiola borealis",""," "," ","Rindi","J. Phycol. 43 (4), 811-822 (2007)"," ","rbcL","131021"
"EF371364","UNIQUE","IN TREE","Free-living","Mougeotia sp.","","JH0304"," ","Hall","Unpublished"," ","rbcL","131021"
"EF372236","UNIQUE","IN TREE","Free-living","Ulva australis",""," "," ","Baamonde Lopez","Botanica Marina 50 (5-6), 267-274 (2007)"," ","rbcL","131021"
"EF506945","UNIQUE","IN TREE","Free-living","Leptosira terrestris",""," "," ","de Cambiaire","BMC Genomics 8, 213 (2007)","17610731","rbcL","131021"
"EF537867","UNIQUE","IN TREE","Free-living","Chlorella sp.","","QD"," ","Shi","Submitted (31-MAR-2007) Biology, The Ocean University of China, No.5 Yuanshan Road, Qingdao, Shandong 266003, China"," ","rbcL","131021"
"EF587355","Group 039","IN TREE","Free-living","Oedogonium cardiacum","","SAG 575-1b"," ","Turmel","J. Phycol. 44 (3), 739-750 (2008)"," ","rbcL","131021"
"EF589142","UNIQUE","IN TREE","Free-living","Chlamydomonas pseudogloeogama","","LCR-T2A"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589145","UNIQUE","IN TREE","Free-living","Prasiola calophylla","","Garwood"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589146","UNIQUE","IN TREE","Free-living","Prasiola crispa","","Hallett"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589147","UNIQUE","IN TREE","Free-living","Stichococcus sp.","","CU358a"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589152","UNIQUE","IN TREE","Free-living","Microthamnion kuetzingianum","","CCAP 450/1b"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589153","UNIQUE","IN TREE","unknown","Trebouxia sp.","","CU296e"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589154","Group 105","IN TREE","Free-living","Chlorella vulgaris","","CCAP 254/5"," ","Novis","Unpublished"," ","rbcL","131021"
"EF589156","UNIQUE","IN TREE","Free-living","Pseudochlorella pringsheimii","","CCAP 211/33"," ","Novis","Unpublished"," ","rbcL","131021"
"EU030689","UNIQUE","IN TREE","Free-living","Chloromonas chenangoensis","","CU725B"," ","Novis","Unpublished"," ","rbcL","131021"
"EU038282","UNIQUE","IN TREE","Free-living","Chlorella pyrenoidosa","","F-5"," ","Sun","Unpublished"," ","rbcL","131021"
"EU038283","UNIQUE","IN TREE","Free-living","Chlorella pyrenoidosa","","F-9"," ","Sun","Unpublished"," ","rbcL","131021"
"EU038284","UNIQUE","IN TREE","Free-living","Chlorella pyrenoidosa","","820"," ","Sun","Unpublished"," ","rbcL","131021"
"EU038285","UNIQUE","IN TREE","Free-living","Auxenochlorella protothecoides","","F-2"," ","Sun","Unpublished"," ","rbcL","131021"
"EU038286","UNIQUE","IN TREE","Free-living","Chlorella vulgaris","","Cvq"," ","Sun","Unpublished"," ","rbcL","131021"
"EU038287","UNIQUE","IN TREE","Free-living","Pseudochlorella pringsheimii","","Ce"," ","Sun","Unpublished"," ","rbcL","131021"
"EU123967","UNIQUE","IN TREE","Xanthoria parientina","Trebouxia aggregata","","SAG 219-1d"," ","Pombert","Unpublished"," ","rbcL","131021"
"EU380519","UNIQUE","IN TREE","Free-living","Pseudomuriella engadinensis","","CCAP221/4"," ","Novis","Unpublished"," ","rbcL","131021"
"EU380520","UNIQUE","IN TREE","Free-living","Mychonastes jurisii","","CCAP260/1"," ","Novis","Unpublished"," ","rbcL","131021"
"EU380523","UNIQUE","IN TREE","Free-living","Ulva intestinalis",""," "," ","Novis","Unpublished"," ","rbcL","131021"
"EU380524","UNIQUE","IN TREE","Free-living","Ulva lactuca",""," "," ","Novis","Unpublished"," ","rbcL","131021"
"EU380532","UNIQUE","IN TREE","Free-living","Cladophora sp.",""," "," ","Novis","Unpublished"," ","rbcL","131021"
"EU421061","UNIQUE","IN TREE","Free-living","Chlamydomonas sp.","","CCMP681"," ","Raymond","Unpublished"," ","rbcL","131021"
"EU421062","UNIQUE","IN TREE","Free-living","Chlamydomonas sp.","","CCMP681"," ","Raymond","Unpublished"," ","rbcL","131021"
"EU484395","Group 694","IN TREE","Free-living","Ulva rigida",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484396","Group 117","REDUNDANT","Free-living","Ulva rotundata",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484397","UNIQUE","IN TREE","Free-living","Ulva compressa",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484398","Group 059","IN TREE","Free-living","Ulva lactuca",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484399","UNIQUE","IN TREE","Free-living","Ulva lactuca",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484400","Group 568","REDUNDANT","Free-living","Ulva lactuca",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484401","UNIQUE","IN TREE","Free-living","Ulva rotundata",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484402","UNIQUE","IN TREE","Free-living","Ulva gigantea",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484403","UNIQUE","IN TREE","Free-living","Ulva gigantea",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484404","UNIQUE","IN TREE","Free-living","Ulva rotundata",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484405","UNIQUE","IN TREE","Free-living","Umbraulva olivascens",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484406","Group 117","IN TREE","Free-living","Ulva rotundata",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484407","Group 394","REDUNDANT","Free-living","Umbraulva olivascens",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484408","UNIQUE","IN TREE","Free-living","Ulva rigida",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484409","Group 059","REDUNDANT","Free-living","Ulva lactuca",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484410","Group 155","IN TREE","Free-living","Umbraulva olivascens",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484411","UNIQUE","IN TREE","Free-living","Umbraulva olivascens",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484412","UNIQUE","IN TREE","Free-living","Ulva scandinavica",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484413","Group 651","IN TREE","Free-living","Ulva lactuca",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484414","UNIQUE","IN TREE","Free-living","Ulva gigantea",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484415","UNIQUE","IN TREE","Free-living","Ulva californica",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484416","Group 100","REDUNDANT","Free-living","Ulva scandinavica",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484417","Group 100","IN TREE","Free-living","Ulva rigida",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU484418","UNIQUE","IN TREE","Free-living","Ulva fasciata",""," "," ","Loughnane","Phycologia 47 (4), 416-429 (2008)"," ","rbcL","131021"
"EU677193","Group 039","REDUNDANT","Free-living","Oedogonium cardiacum","","SAG 575-1b"," ","Brouard","BMC Genomics 9, 290 (2008)","18558012","rbcL","131021"
"EU755275","Group 006","REDUNDANT","Free-living","Volvox carteri",""," "," ","Smith","BMC Genomics 10, 132 (2009)","19323823","rbcL","131021"
"EU933936","Group 036","REDUNDANT","Free-living","Ulva intestinalis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933937","UNIQUE","IN TREE","Free-living","Ulva intestinalis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933938","UNIQUE","IN TREE","Free-living","Ulva stipitata var. linzoides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933939","Group 132","IN TREE","Free-living","Ulva intestinalis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933940","Group 101","IN TREE","Free-living","Ulva clathratioides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933941","Group 036","IN TREE","Free-living","Ulva compressa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933942","UNIQUE","IN TREE","Free-living","Ulva compressa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933943","UNIQUE","IN TREE","Free-living","Ulva laetevirens",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933944","UNIQUE","IN TREE","Free-living","Ulva tanneri",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933945","UNIQUE","IN TREE","Free-living","Ulva brisbanensis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933946","UNIQUE","IN TREE","Free-living","Ulva compressa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933947","Group 036","REDUNDANT","Free-living","Ulva compressa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933948","UNIQUE","IN TREE","Free-living","Ulva proliferoides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933949","UNIQUE","IN TREE","Free-living","Ulva stenophylloides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933950","Group 086","REDUNDANT","Free-living","Ulva stenophylloides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933951","Group 101","REDUNDANT","Free-living","Ulva clathratioides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933952","UNIQUE","IN TREE","Free-living","Ulva compressa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933953","Group 087","REDUNDANT","Free-living","Ulva australis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933954","Group 087","IN TREE","Free-living","Ulva australis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933955","UNIQUE","IN TREE","Free-living","Ulva stenophylloides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933956","Group 086","IN TREE","Free-living","Ulva stenophylloides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933957","UNIQUE","IN TREE","Free-living","Ulva australis",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933958","UNIQUE","IN TREE","Free-living","Ulva proliferoides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933959","UNIQUE","IN TREE","Free-living","Ulva proliferoides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933960","UNIQUE","IN TREE","Free-living","Ulva stipitata var. linzoides",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933961","UNIQUE","IN TREE","Free-living","Ulva laetevirens",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933962","UNIQUE","IN TREE","Free-living","Ulva fasciata",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"EU933963","UNIQUE","IN TREE","Free-living","Ulva flexuosa subsp. paradoxa",""," "," ","Kraft","Unpublished"," ","rbcL","131021"
"FJ042888","UNIQUE","IN TREE","Free-living","Ulva prolifera",""," "," ","Zhang","Unpublished"," ","rbcL","131021"
"FJ423446","Group 052","REDUNDANT","Free-living","Chlamydomonas reinhardtii","","CC-503 cw92 mt+"," ","Smith","BMC Evol. Biol. 9, 120 (2009)","19473533","rbcL","131021"
"FJ493497","UNIQUE","IN TREE","Free-living","Monomastix sp.",""," "," ","Pombert","BMC Biol. 4, 3 (2006)","16472375","rbcL","131021"
"FJ715715","UNIQUE","IN TREE","Free-living","Ulvella repens","","E093db"," ","Cocquyt","BMC Evol. Biol. 9, 39 (2009)","19216746","rbcL","131021"
"FJ968739","Group 503","IN TREE","Free-living","Oocystis solitaria",""," "," ","Turmel","Mol. Biol. Evol. 26 (10), 2317-2331 (2009)","19578159","rbcL","131021"
"FJ968740","UNIQUE","IN TREE","Free-living","Pedinomonas minor",""," "," ","Turmel","Mol. Biol. Evol. 26 (10), 2317-2331 (2009)","19578159","rbcL","131021"
